,name,address,md
0,Advance Your Skills in AI and Machine Learning,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advance%20Your%20Skills%20in%20AI%20and%20Machine%20Learning.pdf,[Advance Your Skills in AI and Machine Learning](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advance%20Your%20Skills%20in%20AI%20and%20Machine%20Learning.pdf)
1,Advance Your Skills in Deep Learning and Neural Networks,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advance%20Your%20Skills%20in%20Deep%20Learning%20and%20Neural%20Networks.pdf,[Advance Your Skills in Deep Learning and Neural Networks](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advance%20Your%20Skills%20in%20Deep%20Learning%20and%20Neural%20Networks.pdf)
2,Advanced NLP with Python for Machine Learning,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advanced%20NLP%20with%20Python%20for%20Machine%20Learning.pdf,[Advanced NLP with Python for Machine Learning](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advanced%20NLP%20with%20Python%20for%20Machine%20Learning.pdf)
3,Advanced Threading in C,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advanced%20Threading%20in%20C.pdf,[Advanced Threading in C](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Advanced%20Threading%20in%20C.pdf)
4,Agile at Work Building Your Agile Team,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Building%20Your%20Agile%20Team.pdf,[Agile at Work Building Your Agile Team](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Building%20Your%20Agile%20Team.pdf)
5,Agile at Work Driving Productive Agile Meetings,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Driving%20Productive%20Agile%20Meetings.pdf,[Agile at Work Driving Productive Agile Meetings](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Driving%20Productive%20Agile%20Meetings.pdf)
6,Agile at Work Getting Better with Agile Retrospectives,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Getting%20Better%20with%20Agile%20Retrospectives.pdf,[Agile at Work Getting Better with Agile Retrospectives](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Getting%20Better%20with%20Agile%20Retrospectives.pdf)
7,Agile at Work Planning with Agile User Stories,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Planning%20with%20Agile%20User%20Stories.pdf,[Agile at Work Planning with Agile User Stories](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Planning%20with%20Agile%20User%20Stories.pdf)
8,Agile at Work Reporting with Agile Charts and Boards,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Reporting%20with%20Agile%20Charts%20and%20Boards.pdf,[Agile at Work Reporting with Agile Charts and Boards](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20at%20Work%20Reporting%20with%20Agile%20Charts%20and%20Boards.pdf)
9,Agile Development Practices,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Development%20Practices.pdf,[Agile Development Practices](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Development%20Practices.pdf)
10,Agile Foundations - PDUs,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Foundations%20-%20PDUs.pdf,[Agile Foundations - PDUs](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Foundations%20-%20PDUs.pdf)
11,Agile Foundations,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Foundations.pdf,[Agile Foundations](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Foundations.pdf)
12,Agile Product Owner Role Foundations - PDUs,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Product%20Owner%20Role%20Foundations%20-%20PDUs.pdf,[Agile Product Owner Role Foundations - PDUs](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Product%20Owner%20Role%20Foundations%20-%20PDUs.pdf)
13,Agile Product Owner Role Foundations,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Product%20Owner%20Role%20Foundations.pdf,[Agile Product Owner Role Foundations](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Product%20Owner%20Role%20Foundations.pdf)
14,Agile Product Owner Role Techniques,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Product%20Owner%20Role%20Techniques.pdf,[Agile Product Owner Role Techniques](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Product%20Owner%20Role%20Techniques.pdf)
15,Agile Project Management Comparing Agile Tools,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Project%20Management%20Comparing%20Agile%20Tools.pdf,[Agile Project Management Comparing Agile Tools](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Project%20Management%20Comparing%20Agile%20Tools.pdf)
16,Agile Project Management with Microsoft Project,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Project%20Management%20with%20Microsoft%20Project.pdf,[Agile Project Management with Microsoft Project](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Agile%20Project%20Management%20with%20Microsoft%20Project.pdf)
17,AI Algorithms for Gaming,https://heaohan.github.io/files/certificate/CertificateOfCompletion_AI%20Algorithms%20for%20Gaming.pdf,[AI Algorithms for Gaming](https://heaohan.github.io/files/certificate/CertificateOfCompletion_AI%20Algorithms%20for%20Gaming.pdf)
